Abstract,Domain,Cleaned_Abstract,Domain_Final
"Gangliosides, sialylated glycosphingolipids abundant in the nervous system, play crucial roles in neurotransmission, interaction with regulatory proteins, cell-cell recognition, and signaling. Altered gangliosides expression has been correlated with pathological processes, including cancer, inflammatory disorders, and autoimmune diseases. Gangliosides are important endogenous ligands of Siglecs (Sialic acid-binding immunoglobulin-type lectins), I-type lectins mostly expressed by immune cells, that specifically recognize sialylated glycans. Siglec-7, an inhibitory immune receptor on human natural killer cells, represents a potential target for tumor immunotherapy. Notably, the expression of Siglec-7 ligands is high in various cancers, such as pancreatic cancer and melanoma and lead to tumor immune evasion. Siglec-7 binds the disialylated ganglioside GD3, a tumor-associated antigen overexpressed on cancer cells to suppress immune responses. Using a combination of structural biology techniques, including Nuclear Magnetic Resonance (NMR), biophysical, and computational methods, the binding of Siglec-7 to GD3 and Gb3 derivatives is investigated, revealing the importance of ligand conformation in modulating binding energetics and affinity. The greater flexibility of Gb3 derivatives appears to negatively impact binding entropy, leading to lower affinity compared to GD3. A thorough understanding of these interactions could contribute to elucidating molecular mechanisms of cancer immune evasion and facilitate the development of ganglioside-based diagnostic and therapeutic strategies for cancer.",Immunotherapy,gangliosides sialylated glycosphingolipids abundant nervous system play crucial roles neurotransmission interaction regulatory proteins cellcell recognition signaling altered gangliosides expression correlated pathological processes including cancer inflammatory disorders autoimmune diseases gangliosides important endogenous ligands siglecs sialic acidbinding immunoglobulintype lectins itype lectins mostly expressed immune cells specifically recognize sialylated glycans siglec inhibitory immune receptor human natural killer cells represents potential target tumor immunotherapy notably expression siglec ligands high various cancers pancreatic cancer melanoma lead tumor immune evasion siglec binds disialylated ganglioside gd tumorassociated antigen overexpressed cancer cells suppress immune responses using combination structural biology techniques including nuclear magnetic resonance nmr biophysical computational methods binding siglec gd gb derivatives investigated revealing importance ligand conformation modulating binding energetics affinity greater flexibility gb derivatives appears negatively impact binding entropy leading lower affinity compared gd thorough understanding interactions could contribute elucidating molecular mechanisms cancer immune evasion facilitate development gangliosidebased diagnostic therapeutic strategies cancer,Immunotherapy
"Radioresistance presents a substantial obstacle to achieving optimal therapeutic outcomes for breast cancer treatment. In this study, we develop a cancer cell membrane (CM) - coated nanozyme system (MPPC@CM), specifically designed for radioimmunotherapy to address this issue. This innovative system involves the in situ reduction of platinum and palladium on mesoporous silica nanospheres, followed by functionalization with cinnamaldehyde via surface grafting. The CM coating endows the nanozyme with enhanced tumor-specific targeting capability due to its homing properties. Upon uptake by tumor cells, MPPC@CM catalytically generates O<sub>2</sub> from H<sub>2</sub>O<sub>2</sub>, mitigating the hypoxic tumor microenvironment and reducing radioresistance.     The intracellular glutathione depletion mediated by Michael addition reactions concurrently disrupts endogenous antioxidant defenses against reactive oxygen species (ROS). This redox imbalance is synergistically amplified through nanozyme-mediated catalytic activities including both peroxidase-like and oxidase-like functions. The resultant massive ROS accumulation establishes a self-reinforcing oxidative cascade that ultimately induces functional inactivation of glutathione peroxidase 4. The immunosuppressive environment is remodeled by this disturbance in redox balance, which accelerates ferroptosis and increases CD8<sup>+</sup> T-cell infiltration and dendritic cell maturation. Overall, this cell membrane-camouflaged nanozyme holds significant potential to enhance the efficacy of radioimmunotherapy.",Immunotherapy,radioresistance presents substantial obstacle achieving optimal therapeutic outcomes breast cancer treatment study develop cancer cell membrane cm coated nanozyme system mppc specifically designed radioimmunotherapy address issue innovative system involves situ reduction platinum palladium mesoporous silica nanospheres followed functionalization cinnamaldehyde via surface grafting cm coating endows nanozyme enhanced tumorspecific targeting capability due homing properties upon uptake tumor cells mppc catalytically generates osubsub hsubsubosubsub mitigating hypoxic tumor microenvironment reducing radioresistance intracellular glutathione depletion mediated michael addition reactions concurrently disrupts endogenous antioxidant defenses reactive oxygen species ros redox imbalance synergistically amplified nanozymemediated catalytic activities including peroxidaselike oxidaselike functions resultant massive ros accumulation establishes selfreinforcing oxidative cascade ultimately induces functional inactivation glutathione peroxidase immunosuppressive environment remodeled disturbance redox balance accelerates ferroptosis increases cdsupsup tcell infiltration dendritic cell maturation overall cell membranecamouflaged nanozyme holds significant potential enhance efficacy radioimmunotherapy,Immunotherapy
"Developing new therapeutic regimens for relapsed/refractory (R/R) B non-Hodgkin lymphoma (NHL) patients remains a significant unmet clinical need. Our objective was to evaluate atezolizumab (ATE), obinutuzumab (OBI) and venetoclax (VEN) combination in patients with R/R NHL who had received at least one prior anti-CD20-containing immunochemotherapy regimen. We report here the final analysis of the phase II LYSA-promoted multicentre trial (NCT03276468) of this combination in follicular lymphoma (FL, n = 58), diffuse large B-cell lymphoma (DLBCL, n = 58) and marginal zone lymphoma (MZL, n = 20). The primary end-point for FL and DLBCL was not met: ATE, OBI, and VEN resulted in an overall response rate (ORR) at the end of induction (EOI) of 53.6% for FL (cohort 1) and 23.6% for DLBCL (cohort 2) when a minimum of 70% and 48% was expected respectively. The median progression-free survival was 11.0 and 2.7 months in cohorts 1 and 2 respectively. In cohort 3 (MZL), the ORR at the EOI was evaluated at 66.7%. The most frequent adverse events (AEs) were cytopenias. We also observed 7.4% of autoimmune AE imputable to the combination. In this phase II study, ATE, OBI and VEN demonstrated moderate efficacy and a manageable toxicity profile when used as induction and maintenance therapy.",Immunotherapy,developing new therapeutic regimens relapsedrefractory rr b nonhodgkin lymphoma nhl patients remains significant unmet clinical need objective evaluate atezolizumab ate obinutuzumab obi venetoclax ven combination patients rr nhl received least one prior anticdcontaining immunochemotherapy regimen report final analysis phase ii lysapromoted multicentre trial nct combination follicular lymphoma fl n diffuse large bcell lymphoma dlbcl n marginal zone lymphoma mzl n primary endpoint fl dlbcl met ate obi ven resulted overall response rate orr end induction eoi fl cohort dlbcl cohort minimum expected respectively median progressionfree survival months cohorts respectively cohort mzl orr eoi evaluated frequent adverse events aes cytopenias also observed autoimmune ae imputable combination phase ii study ate obi ven demonstrated moderate efficacy manageable toxicity profile used induction maintenance therapy,Immunotherapy
"Plasmodium radiation-attenuated sporozoites (RAS) confer sterile protection in mammalian hosts. The duration of protection is affected by the dose of RAS, the route of immunization, and the timing of primary challenge (PC). Giving PC shortly after the last Plasmodium berghei (Pb) RAS immunization of C75BL/6 mice led to the long-term sterile protection, whereas delaying PC beyond 6 months resulted in parasitemia. The mechanisms responsible for the divergent outcome remain unknown. Because liver effector/memory CD8<sup>+</sup>T cells are associated with lasting protection, herein we asked if any functions of CD8<sup>+</sup>T cells would be diminished or lost by delaying PC. Using the Pb protection model, we characterized functional attributes and phenotypes of liver and spleen CD8<sup>+</sup>T cells following early and delayed PC. Compared with CD8<sup>+</sup>T cells before the challenge, liver KLRG-1<sup>int</sup>CD107<sup>+</sup> and IFN-γ<sup>+</sup>IL-2<sup>+</sup>CD8<sup>+</sup>T cells increased after early but decreased following delayed PC. Memory CD8<sup>+</sup>T cells exhibited higher expression of Bcl-2 at early rather than delayed PC. Finally, splenic and liver-draining lymph node CD8<sup>+</sup>T cells expressed significantly higher CXCR6 and the respective ligands but only following early PC. Collectively, our results show that enhanced proliferation, migration, and elevated effector functions of CD8<sup>+</sup>T cells are associated with the longevity of sterile protection in the Pb RAS murine model.",Immunotherapy,plasmodium radiationattenuated sporozoites ras confer sterile protection mammalian hosts duration protection affected dose ras route immunization timing primary challenge pc giving pc shortly last plasmodium berghei pb ras immunization cbl mice led longterm sterile protection whereas delaying pc beyond months resulted parasitemia mechanisms responsible divergent outcome remain unknown liver effectormemory cdsupsupt cells associated lasting protection herein asked functions cdsupsupt cells would diminished lost delaying pc using pb protection model characterized functional attributes phenotypes liver spleen cdsupsupt cells following early delayed pc compared cdsupsupt cells challenge liver klrgsupintsupcdsupsup ifnsupsupilsupsupcdsupsupt cells increased early decreased following delayed pc memory cdsupsupt cells exhibited higher expression bcl early rather delayed pc finally splenic liverdraining lymph node cdsupsupt cells expressed significantly higher cxcr respective ligands following early pc collectively results show enhanced proliferation migration elevated effector functions cdsupsupt cells associated longevity sterile protection pb ras murine model,Immunotherapy
"The immune checkpoint protein, CD112 receptor (CD112R, also known as PVRIG), suppresses T and NK cell activation upon binding to tumor-expressed CD112 (Nectin-2) ligands. Here, we determine the structure of the CD112-CD112R complex and use it to guide the engineering of multiple CD112-targeting immunotherapy candidates. The 2.2 Å-resolution crystal structure reveals an antiparallel, lock-and-key binding mode in which CD112R disrupts CD112 homodimerization. Structural analysis informed directed evolution campaigns focused on remodeling the CD112-CD112R interface, resulting in the isolation of CD112R mutants with greatly increased expression and CD112-binding affinity. The highest-affinity variant, CD112R<sup>IVE</sup>, potently inhibits CD112-CD112R interactions when utilized as a soluble CD112 trap. Furthermore, incorporating CD112R variants into chimeric antigen receptors (CARs) and T cell engagers (TCEs) leads to more robust T cell activation and killing of CD112<sup>+</sup> triple-negative breast cancer (TNBC) cells compared to wild-type CD112R. This strategy demonstrates how structural insights can be leveraged to efficiently generate panels of ""affinity-tuned"" biologics for immunotherapy.",Immunotherapy,immune checkpoint protein cd receptor cdr also known pvrig suppresses nk cell activation upon binding tumorexpressed cd nectin ligands determine structure cdcdr complex use guide engineering multiple cdtargeting immunotherapy candidates resolution crystal structure reveals antiparallel lockandkey binding mode cdr disrupts cd homodimerization structural analysis informed directed evolution campaigns focused remodeling cdcdr interface resulting isolation cdr mutants greatly increased expression cdbinding affinity highestaffinity variant cdrsupivesup potently inhibits cdcdr interactions utilized soluble cd trap furthermore incorporating cdr variants chimeric antigen receptors cars cell engagers tces leads robust cell activation killing cdsupsup triplenegative breast cancer tnbc cells compared wildtype cdr strategy demonstrates structural insights leveraged efficiently generate panels affinitytuned biologics immunotherapy,Immunotherapy
"Chimeric antigen receptor-engineered NK cells hold promise for adoptive cancer immunotherapy. In one such approach, the ErbB2 (HER2)-specific CAR-NK cell line NK-92/5.28.z is under investigation as an off-the-shelf therapy in a phase I trial in glioblastoma patients. To evaluate activity of NK-92/5.28.z cells against ErbB2-positive breast cancer, here we developed an organoid model derived from CKP mice that allows conditional activation of oncogenic driver mutations. Expression of ErbB2 and Cre recombinase in CKP mammary epithelial cells induced malignant transformation, with the resulting EC-CKP cells characterized by neoplastic morphology, loss of p53 and constitutive activation of the MAP kinase pathway. NK-92/5.28.z cells demonstrated potent CAR-mediated cytotoxicity against EC-CKP organoids, with tumor cell lysis dependent on exposure time and organoid size. In vivo passaging of EC-CKP organoids revealed cellular plasticity and induced an EMT phenotype associated with increased resistance to standard therapies. Importantly, NK-92/5.28.z cells retained high and specific cytotoxicity against these breast cancer cells in vitro and in an aggressive organoid-based in vivo mouse model that reflects advanced-stage disease. Our data highlight the therapeutic potential of NK-92/5.28.z cells against ErbB2-positive breast cancer, supporting their further development toward clinical application.",Immunotherapy,chimeric antigen receptorengineered nk cells hold promise adoptive cancer immunotherapy one approach erbb herspecific carnk cell line nkz investigation offtheshelf therapy phase trial glioblastoma patients evaluate activity nkz cells erbbpositive breast cancer developed organoid model derived ckp mice allows conditional activation oncogenic driver mutations expression erbb cre recombinase ckp mammary epithelial cells induced malignant transformation resulting ecckp cells characterized neoplastic morphology loss p constitutive activation map kinase pathway nkz cells demonstrated potent carmediated cytotoxicity ecckp organoids tumor cell lysis dependent exposure time organoid size vivo passaging ecckp organoids revealed cellular plasticity induced emt phenotype associated increased resistance standard therapies importantly nkz cells retained high specific cytotoxicity breast cancer cells vitro aggressive organoidbased vivo mouse model reflects advancedstage disease data highlight therapeutic potential nkz cells erbbpositive breast cancer supporting development toward clinical application,Immunotherapy
"Enhancer RNA (eRNA), a type of non-coding RNA transcribed from enhancer regions, serves as a class of critical regulatory elements in gene expression. In cancer biology, eRNAs exhibit profound roles in tumorigenesis, metastasis, and therapeutic response modulation. In this review, we outline eRNA identification methods utilizing enhancer region prediction, histone H3 lysine 4 monomethyl chromatin signatures, and nucleosome positioning analysis. We quantitate eRNA expression through RNA-seq, single-cell transcriptomics, and epigenomic integration approaches. Functionally, eRNAs regulate gene expression, protein function modulation, and chromatin modification. Key databases detailing eRNA annotations and interactions are highlighted. Furthermore, we analyze the connection of eRNA with immune cells and its potential in immunotherapy. Emerging evidence demonstrates eRNA's critical involvement in immune cell crosstalk and tumor microenvironment reprogramming. Notably, eRNA signatures show promise as predictive biomarkers for immunotherapy response and chemoresistance monitoring in multiple malignancies. This review underscores eRNA's transformative potential in precision oncology, advocating for integrated multiomics approaches to fully realize their clinical applicability.",Immunotherapy,enhancer rna erna type noncoding rna transcribed enhancer regions serves class critical regulatory elements gene expression cancer biology ernas exhibit profound roles tumorigenesis metastasis therapeutic response modulation review outline erna identification methods utilizing enhancer region prediction histone h lysine monomethyl chromatin signatures nucleosome positioning analysis quantitate erna expression rnaseq singlecell transcriptomics epigenomic integration approaches functionally ernas regulate gene expression protein function modulation chromatin modification key databases detailing erna annotations interactions highlighted furthermore analyze connection erna immune cells potential immunotherapy emerging evidence demonstrates ernas critical involvement immune cell crosstalk tumor microenvironment reprogramming notably erna signatures show promise predictive biomarkers immunotherapy response chemoresistance monitoring multiple malignancies review underscores ernas transformative potential precision oncology advocating integrated multiomics approaches fully realize clinical applicability,Immunotherapy
"Targeted protein degradation (TPD) technology holds significant potential for modulating protein homeostasis and treating diseases. However, current methods for degrading membrane protein highly depend on the lysosome-targeting ligands or membrane receptors. In this study, we present a set of multivalent targeting chimeras (multi-TACs) for tumor-specific degradation of programmed death ligand 1 (PD-L1) on the surface of tumor cell membrane. The multi-TACs are synthesized by copolymerization of small molecule PD-L1 inhibitor BMS-1 with acid-responsive monomers. The chemical structures of the multi-TACs are optimized by investigating the correlation between PD-L1 degradation efficacy and the key parameters including acid-sensitive moieties, BMS-1 valences and spacer lengths. Mechanistic study reveals that the multi-TACs highly efficiently degrade PD-L1 on the surface of tumor cells via the adsorption-mediated endocytosis and lysosomal degradation pathways, which differ significantly from the reported strategies for membrane protein degradation. The outperformed multi-TAC GG56 with tumor extracellular acidity and enzyme-sensitivity dramatically reduces PD-L1 levels and suppresses tumor growth in mouse models of B16-F10 melanoma and 4T1 breast tumors. Furthermore, GG56 serves as a versatile nanoplatform for combinatory chemo-immunotherapy and radio-immunotherapy of 4T1 breast tumor by co-delivery of chemotherapeutic and radio-sensitizer, respectively.",Immunotherapy,targeted protein degradation tpd technology holds significant potential modulating protein homeostasis treating diseases however current methods degrading membrane protein highly depend lysosometargeting ligands membrane receptors study present set multivalent targeting chimeras multitacs tumorspecific degradation programmed death ligand pdl surface tumor cell membrane multitacs synthesized copolymerization small molecule pdl inhibitor bms acidresponsive monomers chemical structures multitacs optimized investigating correlation pdl degradation efficacy key parameters including acidsensitive moieties bms valences spacer lengths mechanistic study reveals multitacs highly efficiently degrade pdl surface tumor cells via adsorptionmediated endocytosis lysosomal degradation pathways differ significantly reported strategies membrane protein degradation outperformed multitac gg tumor extracellular acidity enzymesensitivity dramatically reduces pdl levels suppresses tumor growth mouse models bf melanoma breast tumors furthermore gg serves versatile nanoplatform combinatory chemoimmunotherapy radioimmunotherapy breast tumor codelivery chemotherapeutic radiosensitizer respectively,Immunotherapy
"Epcutaneous immunotherapy (EPIT) is a novel, non-oral route of allergen immunotherapy, utilizing the skin and its robust density of epidermal Langerhans cells (LC) for antigen presentation. This space is non-vascularized and impermeable, which limits allergen exposure into the bloodstream but preserves antigen presentation to regional lymph nodes to generate gut-homing regulatory T cells. The EPIT patch utilizes natural water loss from the skin to absorb electrosprayed allergen through condensation. EPIT represents an alternative, non-oral route of immunotherapy for food allergy, with good efficacy and strong safety profiles across multiple phase 2 and 3 studies for milk and peanut. Efficacy appears the best in very young children (1-3 years old), which has been shown to continue to enhance with extended treatment duration up to 36 months. Efficacy in slightly older children ages 4-11 years of age is less clear, but appears to be better in children ages 4-7 years of age. In clinical trials of milk and peanut EPIT, most subjects experienced adverse effects, mainly mild-to-moderate skin reactions localized around the patch placement site, which improve with continued duration of wear. Rates of treatment-related anaphylaxis have been very low across all studies and ages, ranging from 1.6% to 4%, and were lowest in the infant and toddler population. While further studies of safety (1- to 3-year-olds) and efficacy (4- to 7-year-olds) are ongoing, EPIT is a potentially valuable addition to the current landscape of food allergy therapies, in particular for infants and toddlers where families may be seeking a non-oral route of treatment.",Immunotherapy,epcutaneous immunotherapy epit novel nonoral route allergen immunotherapy utilizing skin robust density epidermal langerhans cells lc antigen presentation space nonvascularized impermeable limits allergen exposure bloodstream preserves antigen presentation regional lymph nodes generate guthoming regulatory cells epit patch utilizes natural water loss skin absorb electrosprayed allergen condensation epit represents alternative nonoral route immunotherapy food allergy good efficacy strong safety profiles across multiple phase studies milk peanut efficacy appears best young children years old shown continue enhance extended treatment duration months efficacy slightly older children ages years age less clear appears better children ages years age clinical trials milk peanut epit subjects experienced adverse effects mainly mildtomoderate skin reactions localized around patch placement site improve continued duration wear rates treatmentrelated anaphylaxis low across studies ages ranging lowest infant toddler population studies safety yearolds efficacy yearolds ongoing epit potentially valuable addition current landscape food allergy therapies particular infants toddlers families may seeking nonoral route treatment,Immunotherapy
"Parainfluenza viruses are a common cause of respiratory illness in many species. In this study, experimental, alphavirus-derived RNA particle vaccines either with or without adjuvant were evaluated against porcine parainfluenza virus 1 (PPIV1) challenge and compared to live virus exposure. Groups of ten, three-week-old pigs were vaccinated intramuscularly with an adjuvanted RNA particle (RPAdj/C) or non-adjuvanted RP (RP/C) or administered an intranasal live exposure (LE/C) dose of PPIV1 at 0- and 21-days post vaccination (DPV) followed by challenge with PPIV1 at 40 DPV. In addition, two groups were included as non-vaccinated, non-challenged (NV/NC) and non-vaccinated, challenged (NV/C) controls. Intranasal virus exposure and RP vaccination, regardless of adjuvant, reduced PPIV1 shedding in nasal swabs by 5 days post inoculation (DPI). All vaccinated or exposed pigs seroconverted as shown by enzyme-linked immunosorbent assay and serum virus neutralization. The antibody isotype detected in bronchoalveolar lavage fluid (BALF) LE/C was predominantly IgA while RP vaccination induced an IgG response. Reduced PPIV1 antigen was observed in the LE/C, RP/C and RPAdj/C groups in lung, trachea, or nasal turbinate epithelium. Additionally, the RPAdj vaccine significantly reduced nasal shedding compared to NV/C pigs although not as much as LE/C pigs. These results suggest vaccination could mitigate PPIV1 infection in commercial systems.",Immunotherapy,parainfluenza viruses common cause respiratory illness many species study experimental alphavirusderived rna particle vaccines either without adjuvant evaluated porcine parainfluenza virus ppiv challenge compared live virus exposure groups ten threeweekold pigs vaccinated intramuscularly adjuvanted rna particle rpadjc nonadjuvanted rp rpc administered intranasal live exposure lec dose ppiv days post vaccination dpv followed challenge ppiv dpv addition two groups included nonvaccinated nonchallenged nvnc nonvaccinated challenged nvc controls intranasal virus exposure rp vaccination regardless adjuvant reduced ppiv shedding nasal swabs days post inoculation dpi vaccinated exposed pigs seroconverted shown enzymelinked immunosorbent assay serum virus neutralization antibody isotype detected bronchoalveolar lavage fluid balf lec predominantly iga rp vaccination induced igg response reduced ppiv antigen observed lec rpc rpadjc groups lung trachea nasal turbinate epithelium additionally rpadj vaccine significantly reduced nasal shedding compared nvc pigs although much lec pigs results suggest vaccination could mitigate ppiv infection commercial systems,Immunotherapy
"Vaccination remains the most effective strategy for preventing infectious diseases. Subunit vaccines, which consist of antigenic components derived from pathogens, offer significant advantages in terms of biosafety, ease of preparation, and scalability. However, subunit vaccines often exhibit lower immunogenicity than whole-pathogen vaccines do. To address this limitation, coupling antigens with nanoparticles has emerged as a promising strategy for enhancing immune responses by mimicking pathogen structures and improving antigen presentation. This study evaluated the stability of ferritin (F-nps) and encapsulin (E-nps) nanoparticles and their efficient uptake by bone-marrow-derived dendritic cells (BMDCs) in vitro. In vivo studies demonstrated their effective targeting of lymph nodes. The African swine fever virus C129R protein was conjugated to ferritin and encapsulin nanoparticles to assess its ability to enhance antigen-specific immune responses. In murine models, both F-nps and E-nps significantly increased the immunogenicity of the C129R antigen, highlighting their potential as effective vaccine delivery systems. These findings underscore the promise of ferritin and encapsulin nanoparticles as delivery platforms for enhancing antigen immunogenicity and pave the way for the development of nanoparticle-based vaccines.",Immunotherapy,vaccination remains effective strategy preventing infectious diseases subunit vaccines consist antigenic components derived pathogens offer significant advantages terms biosafety ease preparation scalability however subunit vaccines often exhibit lower immunogenicity wholepathogen vaccines address limitation coupling antigens nanoparticles emerged promising strategy enhancing immune responses mimicking pathogen structures improving antigen presentation study evaluated stability ferritin fnps encapsulin enps nanoparticles efficient uptake bonemarrowderived dendritic cells bmdcs vitro vivo studies demonstrated effective targeting lymph nodes african swine fever virus cr protein conjugated ferritin encapsulin nanoparticles assess ability enhance antigenspecific immune responses murine models fnps enps significantly increased immunogenicity cr antigen highlighting potential effective vaccine delivery systems findings underscore promise ferritin encapsulin nanoparticles delivery platforms enhancing antigen immunogenicity pave way development nanoparticlebased vaccines,Immunotherapy
"<i>Mycoplasma hyopneumoniae</i> (<i>Mhyo</i>) and porcine circovirus type 2 (PCV2) are critical pathogens in the swine industry, both contributing significantly to the porcine respiratory disease complex (PRDC). Given their impact, it is logical to control these pathogens simultaneously. Consequently, combined vaccinations against <i>Mhyo</i> and PCV2 are gaining popularity in swine health management. We present the efficacy of the first commercial combined vaccine prepared of a genotype PCV2d strain and <i>Mhyo</i> and tested against experimental challenge infections with target pathogens in comparative trials with other commercial products. In these studies, three-week-old piglets were vaccinated according to the manufacturers' instructions. Five weeks later, they were challenged with two <i>Mhyo</i> strains over three consecutive days or with a PCV2d strain once. Positive controls included challenged pigs without prior vaccination, while non-vaccinated/non-challenged pigs served as negative controls. The key parameters measured were lung lesion scores and seroconversion for <i>Mhyo</i>, and viraemia, rectal shedding, lymph node and lung viral content, and seroconversion for PCV2. Findings and conclusion: The results showed no compromising effects between the vaccine components and highlighted significant differences in efficacy among the various products tested. Additionally, oral fluid sampling demonstrated a strong correlation with the viraemia and fecal shedding of PCV2, underscoring the diagnostic and animal welfare benefits of this sampling method.",Immunotherapy,imycoplasma hyopneumoniaei imhyoi porcine circovirus type pcv critical pathogens swine industry contributing significantly porcine respiratory disease complex prdc given impact logical control pathogens simultaneously consequently combined vaccinations imhyoi pcv gaining popularity swine health management present efficacy first commercial combined vaccine prepared genotype pcvd strain imhyoi tested experimental challenge infections target pathogens comparative trials commercial products studies threeweekold piglets vaccinated according manufacturers instructions five weeks later challenged two imhyoi strains three consecutive days pcvd strain positive controls included challenged pigs without prior vaccination nonvaccinatednonchallenged pigs served negative controls key parameters measured lung lesion scores seroconversion imhyoi viraemia rectal shedding lymph node lung viral content seroconversion pcv findings conclusion results showed compromising effects vaccine components highlighted significant differences efficacy among various products tested additionally oral fluid sampling demonstrated strong correlation viraemia fecal shedding pcv underscoring diagnostic animal welfare benefits sampling method,Immunotherapy
"Cell-mediated immunity is an important component of the immune response for intracellular pathogens. Live vaccines containing different pathogens are used concurrently in the field but are generally licensed individually. Concurrent administration of these vaccines has led to concerns about immune interference. The goal of this study was to characterize BVDV-specific responses to vaccination and determine the effect of concurrent <i>Brucella abortus</i> strain RB51 (RB51) vaccine administration. Peripheral blood mononuclear cells (PBMCs) from cattle vaccinated with a modified-live viral (MLV) vaccine containing BVDV, both RB51 and an MLV, or unvaccinated controls were utilized to evaluate antibody titers and the frequency of interferon gamma (IFN-γ) production within CD4<sup>+</sup>, CD8<sup>+</sup> T cells, and NK cell populations via flow-cytometry. Our data demonstrated the lack of vaccine interference following concurrent administration of two common bovine MLVs and may even suggest some level of enhanced IFN-γ production with concurrent administration.",Immunotherapy,cellmediated immunity important component immune response intracellular pathogens live vaccines containing different pathogens used concurrently field generally licensed individually concurrent administration vaccines led concerns immune interference goal study characterize bvdvspecific responses vaccination determine effect concurrent ibrucella abortusi strain rb rb vaccine administration peripheral blood mononuclear cells pbmcs cattle vaccinated modifiedlive viral mlv vaccine containing bvdv rb mlv unvaccinated controls utilized evaluate antibody titers frequency interferon gamma ifn production within cdsupsup cdsupsup cells nk cell populations via flowcytometry data demonstrated lack vaccine interference following concurrent administration two common bovine mlvs may even suggest level enhanced ifn production concurrent administration,Immunotherapy
"Multiple subtypes of avian influenza virus (AIV), including H5N1, H5N6, and H5N8 viruses, are currently co-circulating in wild birds and poultry and causing sporadic human infections. Vaccine development is essential for pandemic preparedness. In this study, we constructed a candidate vaccine virus (CVV) using reverse genetics (RG) based on the sequence of the first human-infected H5N8 subtype AIV, A/Astrakhan/3212/2020 (H5N8). We evaluated the immunogenicity of the rH5N8/PR8 vaccine strain in combination with Alum, ISA51, and MF59 adjuvants, and we optimized immunization strategies including dosage, administration route, and immunization interval in BALB/c mice. Our results demonstrated that a 10 μg dose of inactivated rH5N8/PR8 with MF59 adjuvant, administered intramuscularly twice at 7-day intervals, induced the strongest immune response and effectively protected mice against challenge with wild-type H5N8 AIVs. Since pandemic influenza vaccines typically require tailored vaccination doses and routes specific to their characteristics, this study provides valuable insights for the development of similar vaccine strains with pandemic potential.",Immunotherapy,multiple subtypes avian influenza virus aiv including hn hn hn viruses currently cocirculating wild birds poultry causing sporadic human infections vaccine development essential pandemic preparedness study constructed candidate vaccine virus cvv using reverse genetics rg based sequence first humaninfected hn subtype aiv aastrakhan hn evaluated immunogenicity rhnpr vaccine strain combination alum isa mf adjuvants optimized immunization strategies including dosage administration route immunization interval balbc mice results demonstrated g dose inactivated rhnpr mf adjuvant administered intramuscularly twice day intervals induced strongest immune response effectively protected mice challenge wildtype hn aivs since pandemic influenza vaccines typically require tailored vaccination doses routes specific characteristics study provides valuable insights development similar vaccine strains pandemic potential,Immunotherapy
"The H5 Avian Influenza A virus infection has emerged as a global concern, particularly in the ASEAN region. This viral infection poses a significant threat to the poultry industry, public health, and regional economies. This region's reliance on poultry production and the zoonotic potential of H5 subtypes, with documented transmission to various mammalian species and humans, necessitates proactive mitigation strategies. Over the years, comprehensive efforts such as surveillance, vaccination programs, biosecurity measures, and public health education have been implemented to keep outbreaks at bay. In this review, we provide a thorough overview of the H5 infections in the ASEAN region, focusing on the unique challenges and successes in this geographic area. We analyze epidemiological trends, including specific high-risk populations and transmission patterns, and assess the socioeconomic impact of H5 outbreaks on local communities. We also examine regional responses, highlighting innovative surveillance programs, vaccination strategies, and biosecurity measures implemented to control the virus. Furthermore, we explore the crucial role of the One Health approach, emphasizing interdisciplinary collaboration between human, animal, and environmental health sectors. Finally, we discuss future strategies for prevention and control, including the importance of regional cooperation in combating this evolving threat. Through this, we aim to provide valuable insights to the public, policymakers, and researchers involved in tackling H5 infections globally.",Immunotherapy,h avian influenza virus infection emerged global concern particularly asean region viral infection poses significant threat poultry industry public health regional economies regions reliance poultry production zoonotic potential h subtypes documented transmission various mammalian species humans necessitates proactive mitigation strategies years comprehensive efforts surveillance vaccination programs biosecurity measures public health education implemented keep outbreaks bay review provide thorough overview h infections asean region focusing unique challenges successes geographic area analyze epidemiological trends including specific highrisk populations transmission patterns assess socioeconomic impact h outbreaks local communities also examine regional responses highlighting innovative surveillance programs vaccination strategies biosecurity measures implemented control virus furthermore explore crucial role one health approach emphasizing interdisciplinary collaboration human animal environmental health sectors finally discuss future strategies prevention control including importance regional cooperation combating evolving threat aim provide valuable insights public policymakers researchers involved tackling h infections globally,Immunotherapy
